ID,Population,Colour,BodyRegion,Background,Background2,dS,dL
m63a,Kenya,display,botflank,Leaf_B2,own,2.478566766,14.190283
m63a,Kenya,display,botflank,Leaf_T1,own,1.380611452,28.5254222
m63a,Kenya,display,botflank,Leaf_T2,own,2.104435558,29.6012311
m63a,Kenya,display,botflank,Stem1,own,3.465153431,23.4401207
m63a,Kenya,display,botflank,Stem2,own,3.866896987,14.4704653
m63b,Kenya,display,botflank,Leaf_B1,own,5.017388868,17.3243212
m63b,Kenya,display,botflank,Leaf_B2,own,4.181395352,18.6430286
m63b,Kenya,display,botflank,Leaf_T1,own,1.736056791,32.9781678
m63b,Kenya,display,botflank,Leaf_T2,own,3.6928454,34.0539767
m63b,Kenya,display,botflank,Stem1,own,4.568576283,27.8928663
m63b,Kenya,display,botflank,Stem2,own,4.828406173,18.9232109
m64,Kenya,display,botflank,Leaf_B1,own,5.160856714,18.7980762
m64,Kenya,display,botflank,Leaf_B2,own,4.308102017,20.1167835
m64,Kenya,display,botflank,Leaf_T1,own,2.28508079,34.4519228
m64,Kenya,display,botflank,Leaf_T2,own,3.900228537,35.5277316
m64,Kenya,display,botflank,Stem1,own,4.502891681,29.3666213
m64,Kenya,display,botflank,Stem2,own,4.616063014,20.3969658
m64b,Kenya,display,botflank,Leaf_B1,own,5.776916031,21.8072406
m64b,Kenya,display,botflank,Leaf_B2,own,4.944705938,23.1259479
m64b,Kenya,display,botflank,Leaf_T1,own,2.593239209,37.4610871
m64b,Kenya,display,botflank,Leaf_T2,own,4.468470323,38.536896
m64b,Kenya,display,botflank,Stem1,own,5.06469117,32.3757857
m64b,Kenya,display,botflank,Stem2,own,5.221524963,23.4061302
m72,Kenya,display,botflank,Leaf_B1,own,4.168193288,18.8258017
m72,Kenya,display,botflank,Leaf_B2,own,3.344465515,20.1445091
m72,Kenya,display,botflank,Leaf_T1,own,0.960958284,34.4796483
m72,Kenya,display,botflank,Leaf_T2,own,2.858617307,35.5554572
m72,Kenya,display,botflank,Stem1,own,4.122380954,29.3943468
m72,Kenya,display,botflank,Stem2,own,4.507302998,20.4246914
m74a,Kenya,display,botflank,Leaf_B1,own,3.4452983,17.6825385
m74a,Kenya,display,botflank,Leaf_B2,own,2.589480558,19.0012459
m74a,Kenya,display,botflank,Leaf_T1,own,1.543271888,33.3363851
m74a,Kenya,display,botflank,Leaf_T2,own,2.247372883,34.412194
